Timestamp,NodeID,Distance,Anomaly
1764130275.5824783,node_1,322,0
1764130275.7040544,node_1,321,0
1764130275.82573,node_1,322,0
1764130275.947302,node_1,322,0
1764130276.0689678,node_1,322,0
1764130276.190618,node_1,322,0
1764130276.3122363,node_1,322,0
1764130276.4340484,node_1,322,0
1764130276.5556843,node_1,322,0
1764130276.6773417,node_1,322,0
1764130276.7990124,node_1,322,0
1764130276.9028034,node_1,38,1
1764130277.025482,node_1,322,0
1764130277.1471214,node_1,322,0
1764130277.2687826,node_1,322,0
1764130277.3725746,node_1,39,1
1764130277.4952557,node_1,322,0
1764130277.616934,node_1,321,0
1764130277.738513,node_1,321,0
1764130277.8601787,node_1,321,0
1764130277.9818351,node_1,321,0
1764130278.1034474,node_1,322,0
1764130278.2252452,node_1,322,0
1764130278.3468835,node_1,321,0
1764130278.4683142,node_1,321,0
1764130278.5901778,node_1,321,0
1764130278.711732,node_1,322,0
1764130278.8334346,node_1,322,0
1764130278.9550369,node_1,322,0
1764130279.0766764,node_1,322,0
1764130279.1814833,node_1,54,1
1764130279.304148,node_1,321,0
1764130279.4257927,node_1,321,0
1764130279.5473843,node_1,321,0
1764130279.6690762,node_1,322,0
1764130279.7907393,node_1,322,0
1764130279.9123795,node_1,322,0
1764130280.0340137,node_1,321,0
1764130280.1558175,node_1,321,0
1764130280.277316,node_1,322,0
1764130280.3990765,node_1,322,0
1764130280.5207772,node_1,322,0
1764130280.6423783,node_1,321,0
1764130280.7639875,node_1,321,0
1764130280.885601,node_1,322,0
1764130281.0073228,node_1,322,0
1764130281.1289968,node_1,322,0
1764130281.2505498,node_1,322,0
1764130281.3721972,node_1,322,0
1764130281.4940093,node_1,321,0
1764130281.6157188,node_1,322,0
1764130281.7371504,node_1,322,0
1764130281.8590078,node_1,322,0
1764130281.963757,node_1,55,1
1764130282.086397,node_1,322,0
1764130282.2080798,node_1,322,0
1764130282.32985,node_1,322,0
1764130282.451411,node_1,322,0
1764130282.5730553,node_1,322,0
1764130282.694716,node_1,322,0
1764130282.8165617,node_1,322,0
1764130282.9380333,node_1,322,0
1764130283.0597076,node_1,322,0
1764130283.1813004,node_1,322,0
1764130283.302906,node_1,322,0
1764130283.4246747,node_1,322,0
1764130283.5463543,node_1,322,0
1764130283.6680408,node_1,322,0
1764130283.789675,node_1,322,0
1764130283.9112675,node_1,322,0
1764130284.0328765,node_1,322,0
1764130284.154479,node_1,322,0
1764130284.2762609,node_1,322,0
1764130284.3813267,node_1,61,1
1764130284.5039563,node_1,321,0
1764130284.6256943,node_1,322,0
1764130284.7474315,node_1,322,0
1764130284.8690743,node_1,322,0
1764130284.9907522,node_1,322,0
1764130285.1123536,node_1,322,0
1764130285.2341156,node_1,321,0
1764130285.3557353,node_1,322,0
1764130285.4775186,node_1,322,0
1764130285.599132,node_1,322,0
1764130285.720928,node_1,322,0
1764130285.8423836,node_1,321,0
1764130285.9642005,node_1,321,0
1764130286.0858438,node_1,321,0
1764130286.2074118,node_1,322,0
1764130286.3290837,node_1,322,0
1764130286.450721,node_1,322,0
1764130286.5725172,node_1,321,0
1764130286.6939788,node_1,321,0
1764130286.8157856,node_1,321,0
1764130286.9374118,node_1,322,0
1764130287.059113,node_1,322,0
1764130287.1806808,node_1,322,0
1764130287.3023667,node_1,321,0
1764130287.4240158,node_1,321,0
1764130287.5456612,node_1,322,0
1764130287.6672888,node_1,322,0
1764130287.7888916,node_1,322,0
1764130287.9105642,node_1,322,0
1764130288.0322747,node_1,321,0
1764130288.1540413,node_1,321,0
1764130288.2755415,node_1,322,0
1764130288.397162,node_1,322,0
1764130288.5189486,node_1,322,0
1764130288.6405888,node_1,321,0
1764130288.7621717,node_1,321,0
1764130288.8837404,node_1,322,0
1764130289.0056193,node_1,322,0
1764130289.1272156,node_1,322,0
1764130289.248829,node_1,321,0
1764130289.3517292,node_1,24,1
1764130289.455455,node_1,20,1
1764130289.5593965,node_1,22,1
1764130289.6633239,node_1,21,1
1764130289.7859688,node_1,321,0
1764130289.9076142,node_1,322,0
1764130290.0292232,node_1,322,0
1764130290.1508396,node_1,321,0
1764130290.2726927,node_1,321,0
1764130290.394158,node_1,321,0
1764130290.5159445,node_1,322,0
1764130290.637595,node_1,322,0
1764130290.7592082,node_1,322,0
1764130290.8808415,node_1,321,0
1764130291.0024767,node_1,322,0
1764130291.1242619,node_1,321,0
1764130291.2457373,node_1,322,0
1764130291.36749,node_1,322,0
1764130291.4891245,node_1,321,0
